0002cea696a3,A simple and efficent Tensor Calculus.txt,document,Document: A simple and efficent Tensor Calculus.txt
000b7876545c,LLMS LEARN NEW SKILLS IN RL BY COMPOSING OLD ONES.txt,document,Document: LLMS LEARN NEW SKILLS IN RL BY COMPOSING OLD ONES.txt
002daaa338c8,Discharge-produced plasma extreme ultraviolet (EUV) source and ultra high vacuum chamber for studying EUV-induced processes.txt,document,Document: Discharge-produced plasma extreme ultraviolet (EUV) source and ultra high vacuum chamber for studying EUV-induced processes.txt
0055d7e8de34,ATTENTION, LEARN TO SOLVE ROUTING PROBLEMS! _attention_learn_to_solve_routi.txt,document,Document: ATTENTION, LEARN TO SOLVE ROUTING PROBLEMS! _attention_learn_to_solve_routi.txt
0067437fdcfe,From Texts to Shields- Convergence of Large Language Models and Cybersecurity.txt,document,Document: From Texts to Shields- Convergence of Large Language Models and Cybersecurity.txt
0072b698d263,Recent advances in lens-free imaging and sensing.txt,document,Document: Recent advances in lens-free imaging and sensing.txt
00e0bcd52f22,numpy - Torch complement of index operation - Stack Overflow.txt,document,Document: numpy - Torch complement of index operation - Stack Overflow.txt
012a2daf37c4,MemOS- An Operating System for Memory-Augmented Generation (MAG) in Large Language Models (Short Version).txt,document,Document: MemOS- An Operating System for Memory-Augmented Generation (MAG) in Large Language Models (Short Version).txt
0161b0e0d1ca, MATHEMATICAL METHODS FOR PHYSICISTS.txt,document,Document:  MATHEMATICAL METHODS FOR PHYSICISTS.txt
017d1c9baf62,The most advanced AI models.txt,document,Document: The most advanced AI models.txt
017ed05ac383,Optical systems for laser-produced plasma EUV and soft X-ray sources.txt,document,Document: Optical systems for laser-produced plasma EUV and soft X-ray sources.txt
01acabf35e48,Pointer networks  - What are they? | by Samuel Kierszbaum, PhD | Medium.txt,document,Document: Pointer networks  - What are they? | by Samuel Kierszbaum, PhD | Medium.txt
01d809ae91f8,Thedevelopmentoflaser-producedplasmaEUVlightsource.txt,document,Document: Thedevelopmentoflaser-producedplasmaEUVlightsource.txt
020bb741181e,0819 Tianneng Power International - 2026-01-07 - notice.txt,document,Document: 0819 Tianneng Power International - 2026-01-07 - notice.txt
0282109d0f47,Shortest-path kernels on graphs.txt,document,Document: Shortest-path kernels on graphs.txt
02852478cf45,Analog Bits- Generating Discrete Data using Diffusion Models with Self-Conditioning.txt,document,Document: Analog Bits- Generating Discrete Data using Diffusion Models with Self-Conditioning.txt
028f282952bb,Multiphysical graph neural network.txt,document,Document: Multiphysical graph neural network.txt
02c44eb816b6,Learning multiple layers of representation.txt,document,Document: Learning multiple layers of representation.txt
02c49fb1426e,Multi-Agent Reinforcement Learning in Cybersecurity.txt,document,Document: Multi-Agent Reinforcement Learning in Cybersecurity.txt
02d8185eb2fa,A SURVEY OF LEARNING-BASED INTRUSION DETECTION SYSTEMS FOR IN-VEHICLE NETWORK.txt,document,Document: A SURVEY OF LEARNING-BASED INTRUSION DETECTION SYSTEMS FOR IN-VEHICLE NETWORK.txt
02f1285b0afd,Graph Neural Network and Some of GNN Applications- Everything You Need to Know.txt,document,Document: Graph Neural Network and Some of GNN Applications- Everything You Need to Know.txt
02f3382c8446,Applied Linear Algebra And Matrix Analysis - Thomas S. Shores.txt,document,Document: Applied Linear Algebra And Matrix Analysis - Thomas S. Shores.txt
031eb372291f,1799 Xinte Energy - 2026-01-07.txt,document,Document: 1799 Xinte Energy - 2026-01-07.txt
0325851ee0ec,nrl tutorial-part2-gnns.txt,document,Document: nrl tutorial-part2-gnns.txt
032912cb8c45,Chinese Postman Problem - Section 6-4-4.txt,document,Document: Chinese Postman Problem - Section 6-4-4.txt
033299ad54a9,Traveling Salesman Problem Methods of Solution Survey.txt,document,Document: Traveling Salesman Problem Methods of Solution Survey.txt
036b31c4efd7,CERN Summer Student Project Report.txt,document,Document: CERN Summer Student Project Report.txt
03891443d8c1,COMPUTER ORGANIZATION AND ARCHITECTURE.txt,document,Document: COMPUTER ORGANIZATION AND ARCHITECTURE.txt
039a57f350d8,The Origins of Representation Manifolds in Large Language Models.txt,document,Document: The Origins of Representation Manifolds in Large Language Models.txt
03d81000a7f5,A GRAPH NEURAL NETWORK ASSISTED MONTE CARLO TREE SEARCH APPROACH TO TRAVELING SALESMAN PROBLEM a_graph_neural_network_assiste.txt,document,Document: A GRAPH NEURAL NETWORK ASSISTED MONTE CARLO TREE SEARCH APPROACH TO TRAVELING SALESMAN PROBLEM a_graph_neural_network_assiste.txt
03d95ff2aabf,EUV Generation from Lithium Laser Plasma for Lithography.txt,document,Document: EUV Generation from Lithium Laser Plasma for Lithography.txt
040a1aa317c6,High numerical aperture RGB achromatic metalens in the visible .txt,document,Document: High numerical aperture RGB achromatic metalens in the visible .txt
045fb358a16e,Are Large Language Models Reliable AI Scientists.txt,document,Document: Are Large Language Models Reliable AI Scientists.txt
04987f07e59b,Introduction to Graph Theory.txt,document,Document: Introduction to Graph Theory.txt
04a365818558,High efficiency structured EUV multilayer mirror for spectral filtering of long wavelengths.txt,document,Document: High efficiency structured EUV multilayer mirror for spectral filtering of long wavelengths.txt
04bbc58ef0fb,2432 Shenzhen Dobot - 2026-01-12.txt,document,Document: 2432 Shenzhen Dobot - 2026-01-12.txt
04c4031b3f33,BIOREASON- Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model.txt,document,Document: BIOREASON- Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model.txt
04d567670e59,Mathematical Principles of Theoretical Physics - Tian Ma.txt,document,Document: Mathematical Principles of Theoretical Physics - Tian Ma.txt
04d7d49b20e2,Generalized Linear Models.txt,document,Document: Generalized Linear Models.txt
04f45438bf8d,Challenges and Opportunities in Semiconductor Packaging.txt,document,Document: Challenges and Opportunities in Semiconductor Packaging.txt
05045a6f64f3,Python Tutorial: Dijkstra's shortest path algorithm - 2020.txt,document,Document: Python Tutorial: Dijkstra's shortest path algorithm - 2020.txt
050ac52b3bf9,doc.txt,document,Document: doc.txt
053c1d1059d3,SCALING AN ISO COMPLIANCE PRACTICE- STRATEGIC INSIGHTS FROM BUILDING A $1M+ CYBERSECURITY CERTIFICATION LINE.txt,document,Document: SCALING AN ISO COMPLIANCE PRACTICE- STRATEGIC INSIGHTS FROM BUILDING A $1M+ CYBERSECURITY CERTIFICATION LINE.txt
053ca0093162,Ch14_EmergingMemory.txt,document,Document: Ch14_EmergingMemory.txt
05514c8247ac,Ferzigerperic 2002 Computational methods for fluid dynamics.txt,document,Document: Ferzigerperic 2002 Computational methods for fluid dynamics.txt
05543a31b5e1,The 3D Graph Convolutional Neural Networks.txt,document,Document: The 3D Graph Convolutional Neural Networks.txt
055a7901c533,1361 361 Degrees International -2026-01-07.txt,document,Document: 1361 361 Degrees International -2026-01-07.txt
055aef888cf6,Gaussian Process Dynamical Models for Human Motion.txt,document,Document: Gaussian Process Dynamical Models for Human Motion.txt
057c4d41002b,Linear_Algebra_A_Modern_Introduction_3.txt,document,Document: Linear_Algebra_A_Modern_Introduction_3.txt
0583ba4ac96d,9885.HK_20260131_2038_summary.html,document,Document: 9885.HK_20260131_2038_summary.html
0593589ef09b,Face Recognition- A Convolutional Neural-Network Approach -IEEE.TNN.face.recognition.hybrid.nn.txt,document,Document: Face Recognition- A Convolutional Neural-Network Approach -IEEE.TNN.face.recognition.hybrid.nn.txt
059ed0f87b92,Neural ODE.txt,document,Document: Neural ODE.txt
05a8d6059808,An Introduction to Symbolic Logic.txt,document,Document: An Introduction to Symbolic Logic.txt
05b3c96432a8,Neural Ordinary Differential Equation.txt,document,Document: Neural Ordinary Differential Equation.txt
05dcb4345500,DIFFRACTIVE INTEGRATED PHOTONICS FOR ANALOG COMPUTING AND MACHINE LEARNING.txt,document,Document: DIFFRACTIVE INTEGRATED PHOTONICS FOR ANALOG COMPUTING AND MACHINE LEARNING.txt
05dece09a991,nrl tutorial-part1-embeddings.txt,document,Document: nrl tutorial-part1-embeddings.txt
05e0ff815821,A Hilbert space is a vector space equipped with an inner product that allows for the measurement of lengths and angles.txt,document,Document: A Hilbert space is a vector space equipped with an inner product that allows for the measurement of lengths and angles.txt
05ea380d16e1,Data-driven discovery of coordinates and governing equations.txt,document,Document: Data-driven discovery of coordinates and governing equations.txt
05ef3f7ddc47,PyG_org.txt,document,Document: PyG_org.txt
05f34ce679d6,A focus on harnessing big data and artificial intelligence- revolutionizing drug discovery from traditional Chinese medicine sources.txt,document,Document: A focus on harnessing big data and artificial intelligence- revolutionizing drug discovery from traditional Chinese medicine sources.txt
0618211dc4cc,Chapter 5 The Expressive Power of Graph Neural Networks.txt,document,Document: Chapter 5 The Expressive Power of Graph Neural Networks.txt
063089f27dc0,2015_Book_Object-OrientedAnalysisDesignA.txt,document,Document: 2015_Book_Object-OrientedAnalysisDesignA.txt
0634144e434c,Domain-Specific LLMs: Benefits & Development.txt,document,Document: Domain-Specific LLMs: Benefits & Development.txt
063b3f53cc5c,Cymer patent on EUV - US8319201.txt,document,Document: Cymer patent on EUV - US8319201.txt
064b71e0d9f7,The Concept of Artificial Neurons (Perceptrons) in Neural Networks.txt,document,Document: The Concept of Artificial Neurons (Perceptrons) in Neural Networks.txt
06555f283358,NeuralOperator.txt,document,Document: NeuralOperator.txt
065f08270292,High-throughput multiple dies-to-wafer bonding technology and III:V-on-Si hybrid lasers.txt,document,Document: High-throughput multiple dies-to-wafer bonding technology and III:V-on-Si hybrid lasers.txt
066f4b09a977, Towards a More Diversified Computing World.txt,document,Document:  Towards a More Diversified Computing World.txt
068b1bbe82cd,A Human Study of Cognitive Biases in Web Application Security.txt,document,Document: A Human Study of Cognitive Biases in Web Application Security.txt
06a5b7d9d899,ES2.2_componentsHW.txt,document,Document: ES2.2_componentsHW.txt
06a6b3f60cad,FDSD11.txt,document,Document: FDSD11.txt
06bf023b547e,Coherent free-electron light sources-1.txt,document,Document: Coherent free-electron light sources-1.txt
